,age,gender,handedness,cold_start_sp,cold_start_own,cold_end_sp,cold_end_own,hot_start_sp,hot_start_own,hot_end_sp,hot_end_own,temp_start_sp,temp_start_own,temp_end_sp,temp_end_own,rough_start_sp,rough_start_own,rough_end_sp,rough_end_own,smooth_start_sp,smooth_start_own,smooth_end_sp,smooth_end_own,text_start_sp,text_start_own,text_end_sp,text_end_own,odd_start_sp,odd_start_own,odd_end_sp,odd_end_own,square_start_sp,square_start_own,square_end_sp,square_end_own,shape_start_sp,shape_start_own,shape_end_sp,shape_end_own,firm_start_sp,firm_start_own,firm_end_sp,firm_end_own,soft_start_sp,soft_start_own,soft_end_sp,soft_end_own,firmness_start_sp,firmness_start_own,firmness_end_sp,firmness_end_own
sub1,23,female,right,17.0,1,10.0,1,12.0,2,12.0,2,13.0,1,10.0,3,9.0,1,8.0,2,9.0,2,8.0,2,14.0,2,10.0,2,13.0,1,11.0,1,10.0,2,10.0,3,14.0,1,11.0,4,8.0,1,9.0,3,13.0,1,13.0,2,12.0,2,9.0,2
sub3,32,male,right,10.0,1,4.0,1,4.0,2,4.0,3,12.0,1,4.0,1,13.0,1,5.0,1,14.0,4,20.0,1,14.0,1,6.0,1,14.0,1,16.0,1,10.0,1,3.0,2,12.0,1,9.0,1,3.0,1,3.0,2,3.0,1,3.0,1,3.0,2,4.0,1
sub4,30,male,right,0.0,1,0.0,1,0.0,2,0.0,2,0.0,2,0.0,2,0.0,1,0.0,1,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,1,0.0,1,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
sub5,24,male,right,3.0,2,0.0,6,3.0,3,3.0,4,3.0,2,0.0,6,2.0,2,0.0,6,3.0,2,0.0,6,2.0,2,0.0,6,2.0,3,1.0,4,2.0,3,0.0,5,2.0,3,0.0,5,3.0,2,0.0,6,4.0,3,0.0,5,2.0,2,0.0,6
sub6,33,female,right,2.0,6,0.0,7,1.0,7,1.0,7,2.0,5,2.0,5,1.0,6,1.0,6,-1.0,5,0.0,6,1.0,7,0.0,5,3.0,5,3.0,6,3.0,5,3.0,6,0.0,6,3.0,5,1.0,6,0.0,6,2.0,5,4.0,4,1.0,7,2.0,6
sub7,33,male,right,4.0,2,2.0,3,4.0,2,4.0,2,8.0,1,3.0,3,3.0,1,3.0,1,3.0,2,1.0,4,2.0,2,2.0,2,4.0,2,5.0,2,4.0,2,4.0,2,3.0,2,2.0,2,5.0,3,3.0,2,3.0,1,3.0,1,4.0,2,3.0,2
sub8,33,female,right,5.0,2,7.0,2,4.0,3,5.0,3,6.0,2,7.0,2,4.0,2,5.0,2,5.0,2,6.0,2,4.0,2,4.0,2,7.0,2,8.0,2,7.0,2,6.0,2,6.0,2,7.0,2,4.0,2,6.0,2,4.0,2,4.0,3,4.0,2,6.0,2
sub9,25,female,right,13.0,1,13.0,1,10.0,4,9.0,5,10.0,2,12.0,2,6.0,2,6.0,2,5.0,5,7.0,5,7.0,6,7.0,6,7.0,1,7.0,2,7.0,2,6.0,2,6.0,3,6.0,3,8.0,5,6.0,5,11.0,3,8.0,4,8.0,6,7.0,5
sub10,23,male,right,3.0,1,2.0,4,4.0,2,2.0,3,4.0,2,3.0,2,3.0,1,1.0,3,2.0,1,1.0,4,2.0,2,1.0,4,1.0,1,1.0,4,3.0,1,0.0,5,2.0,2,1.0,4,2.0,1,2.0,2,2.0,1,1.0,3,2.0,1,1.0,3
sub11,31,female,right,0.0,1,0.0,3,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1.0,1,0.0,1,1.0,1,0.0,1,0.0,1,0.0,1,8.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
sub12,31,male,right,2.0,2,3.0,2,4.0,2,4.0,2,1.0,6,3.0,2,1.0,5,2.0,5,-2.0,2,4.0,5,2.0,5,1.0,5,2.0,2,1.0,5,3.0,5,3.0,5,3.0,5,3.0,5,4.0,2,4.0,2,2.0,5,3.0,5,2.0,5,2.0,5
sub13,33,female,right,4.0,1,0.0,5,5.0,1,1.0,1,2.0,1,1.0,2,2.0,2,0.0,2,0.0,2,0.0,2,3.0,2,0.0,2,3.0,1,0.0,5,2.0,3,1.0,4,1.0,1,0.0,5,4.0,2,0.0,3,0.0,2,0.0,2,0.0,2,0.0,2
sub14,32,female,right,3.0,2,2.0,2,0.0,4,0.0,2,1.0,2,1.0,2,2.0,2,2.0,2,3.0,2,1.0,2,2.0,2,3.0,2,1.0,2,2.0,2,2.0,2,2.0,2,3.0,2,2.0,2,3.0,2,4.0,2,3.0,2,2.0,2,2.0,2,2.0,2
sub15,33,female,right,3.0,3,1.0,4,1.0,2,1.0,2,2.0,1,2.0,2,2.0,1,2.0,2,2.0,4,2.0,5,2.0,2,1.0,4,2.0,2,2.0,2,1.0,2,2.0,2,1.0,2,1.0,3,4.0,2,2.0,3,2.0,2,1.0,2,2.0,3,1.0,4
sub16,33,male,left,0.0,7,2.0,5,6.0,4,6.0,2,2.0,6,-2.0,6,4.0,1,5.0,2,-4.0,4,-3.0,5,5.0,5,-5.0,5,-4.0,1,-4.0,2,0.0,1,2.0,1,0.0,5,1.0,4,0.0,6,0.0,4,-4.0,3,-2.0,3,3.0,5,1.0,4
sub17,34,female,right,3.0,2,-2.0,5,2.0,5,-1.0,6,3.0,4,3.0,3,4.0,2,4.0,2,4.0,3,4.0,5,10.0,2,9.0,3,4.0,2,4.0,3,5.0,2,4.0,3,5.0,4,4.0,5,2.0,3,2.0,5,4.0,2,4.0,5,1.0,6,1.0,5
sub18,34,female,right,5.0,3,4.0,1,-3.0,6,5.0,2,-4.0,6,4.0,3,3.0,7,6.0,5,5.0,5,4.0,5,6.0,4,3.0,3,7.0,5,12.0,6,8.0,2,7.0,3,6.0,4,6.0,3,4.0,5,7.0,3,4.0,2,5.0,5,5.0,5,6.0,4
sub19,25,female,right,10.0,1,8.0,1,7.0,2,11.0,5,6.0,5,7.0,6,9.0,1,6.0,2,7.0,6,7.0,6,7.0,6,5.0,6,1.0,5,0.0,7,1.0,5,0.0,6,0.0,7,0.0,7,0.0,7,0.0,7,0.0,6,0.0,7,8.0,2,0.0,7
sub20,28,female,right,8.0,1,12.0,1,12.0,1,9.0,3,6.0,3,5.0,3,7.0,3,8.0,2,8.0,3,7.0,4,7.0,4,9.0,3,9.0,2,7.0,3,9.0,2,9.0,2,9.0,3,10.0,3,6.0,3,8.0,3,9.0,3,8.0,4,6.0,3,7.0,3
